章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,類似問題回避番号
SECT002,Q0400,所得税２,次のうち正しいものを選びなさい。,生活用動産の譲渡所得は所得税の課税対象とならない。,金銭債権の譲渡所得は所得税の課税対象となる,公社債の譲渡所得は所得税の課税対象となる,棚卸資産の譲渡所得は所得税の課税対象となる,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象とならない,1,生活用動産の譲渡所得は所得税の課税対象とならない。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
SECT002,Q0410,所得税２,次のうち正しいものを選びなさい。,金銭債権の譲渡所得は所得税の課税対象とならない。,生活用動産の譲渡所得は所得税の課税対象となる,公社債の譲渡所得は所得税の課税対象となる,棚卸資産の譲渡所得は所得税の課税対象となる,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象とならない,1,金銭債権の譲渡所得は所得税の課税対象とならない。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
SECT002,Q0420,所得税２,次のうち正しいものを選びなさい。,公社債の譲渡所得は所得税の課税対象とならない。,金銭債権の譲渡所得は所得税の課税対象となる,生活用動産の譲渡所得は所得税の課税対象となる,棚卸資産の譲渡所得は所得税の課税対象となる,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象とならない,1,公社債の譲渡所得は所得税の課税対象とならない。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
SECT002,Q0430,所得税２,次のうち正しいものを選びなさい。,棚卸資産の譲渡所得は所得税の課税対象とならない。,金銭債権の譲渡所得は所得税の課税対象となる,公社債の譲渡所得は所得税の課税対象となる,生活用動産の譲渡所得は所得税の課税対象となる,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象とならない,1,棚卸資産の譲渡所得は所得税の課税対象とならない。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
SECT002,Q0440,所得税２,次のうち正しいものを選びなさい。,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象となる。,金銭債権の譲渡所得は所得税の課税対象となる,公社債の譲渡所得は所得税の課税対象となる,棚卸資産の譲渡所得は所得税の課税対象となる,生活用動産の譲渡所得は所得税の課税対象となる,1,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象となる。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
SECT002,Q0450,所得税２,次のうち正しいものを選びなさい。,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象とならない,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象となる,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象とならない,国民券保険法に基づき支給される保険給付額は所得税の課税対象となる,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象となる,1,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象とならない,満期保険金と死亡保険金は一時所得として課税対象になる。また年金は雑所得として課税対象になる。#(損害保険契約による)損害保険金については資産の損害を起因として支払われた場合は非課税である。例えば、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。,8
SECT002,Q0460,所得税２,次のうち正しいものを選びなさい。,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象とならない,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象となる,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象とならない,国民券保険法に基づき支給される保険給付額は所得税の課税対象となる,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象となる,1,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象とならない,満期保険金と死亡保険金は一時所得として課税対象になる。また年金は雑所得として課税対象になる。#(損害保険契約による)損害保険金については資産の損害を起因として支払われた場合は非課税である。例えば、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。,8
SECT002,Q0470,所得税２,次のうち正しいものを選びなさい。,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象となる,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象となる,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象となる,国民券保険法に基づき支給される保険給付額は所得税の課税対象となる,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象となる,1,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象となる,満期保険金と死亡保険金は一時所得として課税対象になる。また年金は雑所得として課税対象になる。#(損害保険契約による)損害保険金については資産の損害を起因として支払われた場合は非課税である。例えば、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。,8
SECT002,Q0480,所得税２,次のうち正しいものを選びなさい。,国民券保険法に基づき支給される保険給付額は所得税の課税対象とならない,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象となる,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象とならない,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象となる,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象となる,1,国民券保険法に基づき支給される保険給付額は所得税の課税対象とならない,満期保険金と死亡保険金は一時所得として課税対象になる。また年金は雑所得として課税対象になる。#(損害保険契約による)損害保険金については資産の損害を起因として支払われた場合は非課税である。例えば、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。,8
SECT002,Q0490,所得税２,次のうち正しいものを選びなさい。,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象とならない,自己の居住する家屋の火災消失により支払われる損害保険金は所得税の課税対象となる,保険料負担者に支払われる生命保険契約の解約返戻金は所得税の課税対象とならない,国民券保険法に基づき支給される保険給付額は所得税の課税対象となる,自家用車の事故による破損に伴い支払われる損害保険金は所得税の課税対象となる,1,厚生年金保険法に基づき支払われる遺族厚生年金は所得税の課税対象とならない,満期保険金と死亡保険金は一時所得として課税対象になる。また年金は雑所得として課税対象になる。#(損害保険契約による)損害保険金については資産の損害を起因として支払われた場合は非課税である。例えば、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。,8
