章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT006,Q0010,力試し,利子所得に該当しないものは、次のうちどれですか。,懸賞金付預金の利子,抵当証券の利息,定期預金の利息,社債の利子,合同運用信託(金銭信託)の収益の分配,2,抵当証券の利息,2
SECT006,Q0020,力試し,配当所得に該当するものは、次のうちどれですか。,生命保険契約にかかる契約者配当金,公社債投資信託の収益の分配,人格のない社団からの収益の分配,出資にかかる剰余金の分配,割引金融債の償還差益,4,出資にかかる剰余金の分配,4
SECT006,Q0030,力試し,株式等の配当所得に対する課税について、誤っているものは次のうちどれですか。ただし、発行済株式等の3％以上を所有する株主を除くものとする。,確定申告をする場合には株式等の元本の取得にかかる負債の利子が控除される,株式等の配当所得については、配当等の金額にかかわらず確定申告不要を選択することができる,上場株式の配当所得については、軽減税率が適用される。,非上場株式の配当所得については、原則として所得税のみが源泉徴収される。,申告分離課税を選択した場合、配当控除は適用されない。,2,株式等の配当所得については、配当等の金額にかかわらず確定申告不要を選択することができる,2
SECT006,Q0040,力試し,総合課税の対象とされない所得は、次のうちどれですか。,非上場株式の譲渡益,金(地金)の譲渡益,法人に対する貸付金の利子,生命保険契約にもとづく年金,厚生年金保険法にもとづく老齢年金,1,非上場株式の譲渡益,1
SECT006,Q0050,力試し,生命保険解約にもとづく満期保険金500万円の支払を受けた場合における一時所得の金額(総所得金額算入前の金額)として、正しいものは次のうちどれですか。ただし、受取人は410万円の保険料を負担したものとする。,20万円,40万円,45万円,90万円,500万円,2,40万円,2
SECT006,Q0060,力試し,不動産所得に該当しないものは、次のうちどれですか。,賃貸ビルの更新料,ビルの屋上看板の使用料,土地の賃貸料,その土地の通常の取引価額の50％相当額を超える借地権の設定対価,変換を要しない敷金,4,その土地の通常の取引価額の50％相当額を超える借地権の設定対価,4
SECT006,Q0070,力試し,不動産所得の金額の計算上、必要経費に算入されるものは、次のうちどれですか。ただし、事業的規模による不動産の貸付の場合とする。,貸家の増築に要する費用,貸家の取壊しにより生じる損失,生計を一にする親族に支払う地代,駐車場用地の取得に要する費用,不動産所得に対して課される所得税額,2,貸家の取壊しにより生じる損失,2
SECT006,Q0080,力試し,下記の資料(平成23年分の見込額)から計算される甲(青色申告者)の不動産所得の金額として、正しいものは次のうちどれですか。ただし、甲は簡易帳簿により取引を記帳しているものとする。#１．不動産所得の総収入金額・・・900万円#２．不動産所得の必要経費・・・500万円#＊なお、当年分の未収賃貸料60万円、変換を要する保証金(受領済)80万円を計上していない。,540万円,460万円,450万円,400万円,395万円,3,450万円,3
SECT006,Q0090,力試し,資産の譲渡による所得につき、非課税とされるものは、次のうちどれですか。,特許権の譲渡による所得,普通社債の譲渡による所得,新株予約券付社債の譲渡による所得,所有期間５年超の山林の譲渡による所得,店舗用建物の譲渡による所得,2,普通社債の譲渡による所得,2
SECT006,Q0100,力試し,譲渡所得の課税上、譲渡資産の所有期間の判定にかかる取得日の扱いについて、誤っているものは次のうちどれですか。,購入により取得した資産については、引き渡しを受けた日または売買契約の効力発生日,相続により取得した資産については、被相続人がその資産を取得した日,買換え特例を適用して取得した資産については、その買換え資産を買換えにより取得した日,他に請け負わせて建設した資産については、請負契約を締結した日,贈与により取得した資産については、贈与者がその資産を取得した日,4,他に請け負わせて建設した資産については、請負契約を締結した日,4
SECT006,Q0110,力試し,譲渡所得の金額計算上の取得費と譲渡費用について、誤っているものは次のうちどれですか。,減価償却資産の取得費は、取得価額から償却費の累計額等を控除したものとされる。,取得費が不明な一定の資産については、譲渡収入金額の5％を取得費の金額とすることができる。,相続により取得した資産を譲渡する際の取得費は、当該資産の相続開始時点の相続税評価額とされる。,資産の譲渡に際して支出した仲介手数料や測量費等は、譲渡費用とされる。,譲渡資産の修繕費等、当該資産の維持・管理に要した費用は、譲渡費用とされない。,3,相続により取得した資産を譲渡する際の取得費は、当該資産の相続開始時点の相続税評価額とされる。,3
SECT006,Q0120,力試し,各種所得の所得区分について、誤っているものは次のうちどれですか。,機械の貸付による賃貸料は、事業所得または雑所得とされる。,大型船舶の貸付による賃貸料は、不動産所得とされる。,法人の役員が受ける勤務先預金の利子は、利子所得とされる。,父が経営する法人(勤務先外)より無償で譲り受けた自動車は一時所得とされる。,法人に対する資産の現物出資は、譲渡所得とされる。,3,法人の役員が受ける勤務先預金の利子は、利子所得とされる。,3
SECT006,Q0130,力試し,勤続年数20年２ヶ月で、退職金1500万円の支払を受けた場合の退職所得の金額として、正しいものは次のうちどれですか。,700万円=1500万円ー800万円,630万円=1500万円ー(800万円＋70万円),350万円=(1500万円ー800万円)x1/2,330万円=(1500万円ー840万円)x1/2,315万円={1500万円ー(800万円+70万円)}x1/2,5,315万円={1500万円ー(800万円+70万円)}x1/2,5
